sample_id,correct_control,correct_candidate,experiment,transition
train_1121,True,True,Z-F8,unchanged
train_1124,False,True,Z-F8,wrong_to_right
train_1125,False,False,Z-F8,unchanged
train_1129,False,False,Z-F8,unchanged
train_1130,False,False,Z-F8,unchanged
train_1135,False,True,Z-F8,wrong_to_right
train_1136,False,False,Z-F8,unchanged
train_1139,False,False,Z-F8,unchanged
train_1140,False,False,Z-F8,unchanged
train_1143,False,False,Z-F8,unchanged
train_1144,True,True,Z-F8,unchanged
train_1148,False,False,Z-F8,unchanged
train_1159,True,True,Z-F8,unchanged
train_1160,False,False,Z-F8,unchanged
train_1170,False,False,Z-F8,unchanged
train_1173,True,True,Z-F8,unchanged
train_1177,True,False,Z-F8,right_to_wrong
train_1181,False,True,Z-F8,wrong_to_right
train_1184,True,True,Z-F8,unchanged
train_1188,True,False,Z-F8,right_to_wrong
train_1192,True,True,Z-F8,unchanged
train_1194,True,True,Z-F8,unchanged
train_1195,True,True,Z-F8,unchanged
train_1196,True,True,Z-F8,unchanged
train_1201,True,True,Z-F8,unchanged
train_1205,True,True,Z-F8,unchanged
train_1211,False,False,Z-F8,unchanged
train_1212,False,False,Z-F8,unchanged
train_1224,False,True,Z-F8,wrong_to_right
train_1225,True,False,Z-F8,right_to_wrong
train_1232,False,False,Z-F8,unchanged
train_1234,False,True,Z-F8,wrong_to_right
train_1243,False,False,Z-F8,unchanged
train_1255,True,True,Z-F8,unchanged
train_1269,False,True,Z-F8,wrong_to_right
train_1274,False,False,Z-F8,unchanged
train_1276,True,True,Z-F8,unchanged
train_1279,False,False,Z-F8,unchanged
train_1282,True,True,Z-F8,unchanged
train_1291,False,True,Z-F8,wrong_to_right
train_1292,False,True,Z-F8,wrong_to_right
train_1293,True,True,Z-F8,unchanged
train_1294,True,True,Z-F8,unchanged
train_1299,False,True,Z-F8,wrong_to_right
train_1302,False,True,Z-F8,wrong_to_right
train_1306,True,True,Z-F8,unchanged
train_1308,False,False,Z-F8,unchanged
train_1315,False,True,Z-F8,wrong_to_right
train_1331,False,False,Z-F8,unchanged
train_1345,False,False,Z-F8,unchanged
train_1351,False,True,Z-F8,wrong_to_right
train_1352,False,False,Z-F8,unchanged
train_1353,False,False,Z-F8,unchanged
train_1356,False,False,Z-F8,unchanged
train_1361,False,False,Z-F8,unchanged
train_1363,True,False,Z-F8,right_to_wrong
train_1368,False,True,Z-F8,wrong_to_right
train_1372,False,False,Z-F8,unchanged
train_1375,True,False,Z-F8,right_to_wrong
train_1377,True,True,Z-F8,unchanged
train_1385,True,True,Z-F8,unchanged
train_1389,False,True,Z-F8,wrong_to_right
train_1390,True,True,Z-F8,unchanged
train_1396,False,False,Z-F8,unchanged
train_1401,False,True,Z-F8,wrong_to_right
train_1406,True,True,Z-F8,unchanged
train_1409,True,True,Z-F8,unchanged
train_1421,True,True,Z-F8,unchanged
train_1423,True,True,Z-F8,unchanged
train_1424,False,False,Z-F8,unchanged
train_1426,True,True,Z-F8,unchanged
train_1439,True,True,Z-F8,unchanged
train_1453,False,False,Z-F8,unchanged
train_1464,False,False,Z-F8,unchanged
train_1472,False,False,Z-F8,unchanged
train_1482,True,True,Z-F8,unchanged
train_0006,True,True,L16-F1,unchanged
train_0040,True,True,L16-F1,unchanged
train_0041,True,True,L16-F1,unchanged
train_0042,False,False,L16-F1,unchanged
train_0043,True,True,L16-F1,unchanged
train_0044,True,True,L16-F1,unchanged
train_0050,False,False,L16-F1,unchanged
train_0051,False,False,L16-F1,unchanged
train_0058,True,True,L16-F1,unchanged
train_0059,True,False,L16-F1,right_to_wrong
train_0060,True,True,L16-F1,unchanged
train_0061,True,True,L16-F1,unchanged
train_0062,True,True,L16-F1,unchanged
train_0063,True,True,L16-F1,unchanged
train_0070,True,True,L16-F1,unchanged
train_0071,True,True,L16-F1,unchanged
train_0078,True,True,L16-F1,unchanged
train_0079,True,True,L16-F1,unchanged
